Restaurant Name,Rating,Category,Address
Sunrise Market (Cannon St),4.7,Convenience,"217 Cannon Street East, Hamilton, ON L8L 2A9"
MIX+ Food Mart,4.2,Convenience,"215 King Street West Hamilton, On L8p 1a7,"
Big Bear Food Mart,4.0,American,"82 Wellington Street North, Hamilton, ON L8R 1N1"
Starbucks (112 King Street East),4.7,Bakery,"112 King Street East, Hamilton, ON L8N 1A8"
McDonald's (675 Upper James Street),4.4,American,"675 Upper James Street, Hamilton, ON L9C 2Z5"
Wendy's (869 Upper James Street),4.5,Fast food,"869 Upper James Street, Hamilton, ON L9C 3A3"
Tim Horton's (80 John St),4.7,Bakery,"80 John St, Hamilton, ON L8N 2C2"
Burger King #2426 (210 Centennial Parkway North),4.4,American,"210 Centennial Parkway North, Hamilton, ON L8E 4A1"
7-Eleven (622 Upper Wellington St @ Brucedale),4.5,Wings,"622 Upper Wellington St @ Brucedale, Hamilton, ON L9A"
ANYTIME CONVENIENCE,4.7,Convenience,"180 Queen Street South, Hamilton, ON L8P"
A&W (Upper James St),4.0,Fast food,"931 Upper James St, Hamilton, ON L9C 3A6"
Subway (830 Upper James St),4.6,American,"830 Upper James St, Hamilton, ON L9C"
Arha Variety,3.9,Burgers,"527 James Street North, Hamilton, ON L8L 1J6"
Sunset Grill (1299 Barton St.),4.5,Breakfast and brunch,"1299 Barton St., Hamilton, ON L8H 2W1"
Jet Cafe,4.5,Coffee & tea,"184 King Street East, Hamilton, ON L8N"
Wimpy's Diner (Main Street),4.4,Burgers,"875 Main Street West, Hamilton, ON L8S 4R1"
Canadian Tire Gas+ (1321 Barton Street E),New,Snacks,"1321 Barton Street East, Hamilton, ON L8H 2V4"
Booster Juice (1400 Upper James Street),5.0,Healthy,"1400 Upper James Street, Hamilton, ON L9B"
Taste of Lagos,4.0,Steak,"54 James St N, Hamilton, ON L8R 2K1"
On the Run 42366 | 1160 Fennell Ave E,New,Everyday Essentials,"1160 Fennell Ave. E., HAMILTON, ON L8T 1S5"
Golden Griddle (Hamilton),4.8,Breakfast and brunch,"1119 Fennell Ave E, Hamilton, on L8T 1S2"
"Walmart (675 Upper James St, Hamilton)",New,Grocery,"675 Upper James St,  Hamilton, Toronto, Ca, L9c 2z5,"
Hasty Market (Kenilworth Ave N),New,Snacks,"180 Kenilworth Avenue North, Hamilton, ON L8H 4S1"
Starbucks (1260 Rymal Road East),4.9,Cafe,"1260 Rymal Road East, Hamilton, NAMER L8W 3"
Metro (1161 Barton Street East),4.5,Grocery,"1161 Barton St E, Hamilton, ON L8H"
Sunnyside Grill,4.7,Breakfast & Brunch,"930 Upper Paradise Rd, 15, Hamilton, ON L9B 2N1"
Cora Breakfast and Lunch (1400 Upper James St. Unit # 10),4.1,Breakfast and brunch,"1400 Upper James St. , Unit # 10, Hamilton, ON L9B"
Denny's Canada (560 Centennial Parkway North),4.1,Breakfast and brunch,"560 Centennial Parkway North, Hamilton, ON L8E 0G2"
Stacked Pancake & Breakfast House (Stoney Creek),4.4,Breakfast and brunch,"140 Highway 8, Stoney Creek, ON L8G 1C2"
Paradise Grill,4.8,BBQ,"930 Upper Paradise Road Hamilton, On L9B"
Stacked Pancake & Breakfast House (McMaster),4.4,Breakfast and brunch,"1717 Main Street West Hamilton, On L8s 1g5 Canada,"
Pür & Simple (Ancaster),4.8,Breakfast and brunch,"737 Golf Links Rd, Hamilton, ON L9K 1L5"
